L     1 00 1 1 2 3
000187 02 00000 000 00 000 00 000 00
000178 01 00353 002 00 002 00 002 00
000088 01 00905 004 00 004 00 004 00
000260 01 01366 005 00 005 00 005 00
000221 01 01514 006 00 006 00 006 00
000075 01 01946 008 00 008 00 008 00
000342 01 02258 010 00 010 02 010 02
000166 01 02498 011 00 013 00 013 00
000502 01 02918 013 00 015 00 015 00
000298 01 03386 014 00 016 00 016 00
000169 01 03713 015 00 017 00 017 00
000335 01 04033 016 00 018 00 018 00
000376 01 04457 017 00 019 00 019 00
000147 01 04962 018 00 020 00 020 00
000395 01 05502 020 00 022 00 022 00
000373 01 06145 022 00 024 00 024 00
000310 01 06940 024 00 026 00 026 00
000358 01 07352 025 00 027 00 027 00
000279 01 07908 026 00 028 00 028 00
000097 01 08274 027 00 029 00 029 00
L     1 00 2 1 2 3
000097 02 00000 000 00 000 00 000 00
000279 02 00382 001 00 001 00 001 00
000358 02 00918 002 00 002 00 002 00
000310 02 01331 003 00 003 00 003 00
000373 02 02005 005 00 005 00 005 00
000395 02 02774 007 00 007 00 007 00
000147 02 03311 009 00 009 00 009 00
000376 02 03810 010 00 010 00 010 00
000335 02 04245 011 00 011 00 011 00
000169 02 04543 012 00 012 00 012 00
000298 02 04908 013 00 013 00 013 00
000502 02 05291 014 00 014 00 014 00
000166 02 05801 017 00 016 00 016 00
000342 02 06037 018 00 017 02 017 02
000075 02 06339 020 00 021 00 021 00
000221 02 06750 022 00 023 00 023 00
000260 02 06892 023 00 024 00 024 00
000088 02 07240 024 00 025 00 025 00
000178 02 07917 026 00 027 00 027 00
000187 02 08089 027 00 028 00 028 00
L     2 00 1 1 2 3
000056 01 00000 000 00 000 00 000 00
000123 01 00383 001 00 001 00 001 00
000362 01 00816 002 00 002 00 002 00
000265 01 01352 003 00 003 00 003 00
000352 01 02159 005 00 004 00 005 00
000223 01 02840 006 00 005 00 006 00
000085 01 03278 007 00 006 00 007 00
000266 01 03776 008 00 007 00 008 00
000221 01 04227 010 00 009 00 010 00
000075 01 04659 012 00 011 00 012 00
000342 01 04971 014 00 013 02 014 02
000166 01 05211 015 00 016 00 017 00
000502 01 05631 017 00 018 00 019 00
000298 01 06099 018 00 019 00 020 00
000169 01 06426 019 00 020 00 021 00
000335 01 06746 020 00 021 00 022 00
000376 01 07170 021 00 022 00 023 00
000147 01 07675 022 00 023 00 024 00
000306 01 08222 024 00 025 00 026 00
000086 01 08614 025 00 026 00 027 00
000383 01 09105 026 00 027 00 028 00
000319 01 09341 027 00 028 00 029 00
L     2 00 2 1 2 3
000319 02 00000 000 00 000 00 000 00
000383 02 00233 001 00 001 00 001 00
000086 02 00733 003 00 003 00 003 00
000306 02 01054 004 00 004 00 004 00
000147 02 01692 006 00 005 00 005 00
000376 02 02191 007 00 006 00 006 00
000335 02 02626 008 00 007 00 007 00
000169 02 02924 009 00 008 00 008 00
000298 02 03289 010 00 009 00 009 00
000502 02 03672 011 00 010 00 010 00
000166 02 04182 014 00 012 00 012 00
000342 02 04418 015 00 013 02 013 02
000075 02 04720 017 00 017 00 017 00
000221 02 05131 019 00 019 00 019 00
000266 02 05606 021 00 021 00 021 00
000085 02 06064 022 00 022 00 022 00
000223 02 06499 023 00 023 00 023 00
000352 02 07184 024 00 024 00 024 00
